ailment,plant_common,plant_scientific,preparation,region,country,latitude,longitude,tradition_notes,cautions,evidence_level,source_url
Headache,Peppermint,Mentha × piperita,Tea or topical oil,Europe,Germany,51.0,10.0,"Used for tension-type headache and digestive discomfort in parts of Europe.","Topical menthol can irritate skin; oils may aggravate reflux.",mixed,https://www.nccih.nih.gov/health/peppermint-oil
Headache,Willow bark,Salix alba,Decoction (bark tea),Europe,Poland,52.1,19.4,"Historically used for fever and pain due to salicylates.","Avoid if aspirin-sensitive; bleeding risk; pediatric caution.",limited/low,https://www.ema.europa.eu/en/medicines/herbal/willow-bark
Fever,Yarrow,Achillea millefolium,Herbal tea,Europe,Netherlands,52.0,5.0,"Sweat-inducing tea traditionally used for colds/fever.","Possible Asteraceae allergy; avoid large amounts in pregnancy.",limited/low,https://who.int/publications/i/item/9241545372
Fever,Neem,Azadirachta indica,Leaf infusion,South Asia,India,20.6,78.9,"Used in Ayurveda/folk practice for fever and skin issues.","Potential liver/renal risks in high doses; avoid in pregnancy.",folk-tradition,https://www.nccih.nih.gov/health/neem
Cough,Thyme,Thymus vulgaris,Tea with honey,Mediterranean,Greece,39.0,22.0,"Common home remedy for cough in Mediterranean households.","Thyme oil can be irritating; tea generally mild.",mixed,https://www.ema.europa.eu/en/medicines/herbal/thyme
Cough,Licorice,Glycyrrhiza glabra,Decoction,Middle East,Iran,32.0,53.0,"Soothing throat teas and decoctions.","Excess can raise blood pressure; drug interactions (glycyrrhizin).",mixed,https://www.nccih.nih.gov/health/licorice-root
Nausea,Ginger,Zingiber officinale,Fresh root tea,East Asia,Japan,36.0,138.0,"Widely used for mild nausea and digestion support.","May affect anticoagulants; heartburn in some.",some/clinical,https://pubmed.ncbi.nlm.nih.gov/26051518/
Nausea,Mint,Mentha spp.,Herbal tea,North Africa,Morocco,31.8,-7.1,"Mint tea as a common household remedy for upset stomach.","Can aggravate reflux; watch for allergies.",mixed,https://www.nccih.nih.gov/health/peppermint-oil
Diarrhea,Blackberry leaf,Rubus fruticosus,Leaf tea,Europe,United Kingdom,55.0,-2.0,"Astringent leaf teas used for diarrhea in folk medicine.","Tannins may irritate; hydration and ORS are key.",limited/low,https://www.nccih.nih.gov/health/a-to-z
Diarrhea,Rice water,–,Boiled rice water,East Asia,China,35.0,103.0,"Simple home preparation to support hydration.","Not a substitute for oral rehydration therapy when needed.",folk-tradition,https://www.who.int/health-topics/diarrhoea
Sore throat,Sage,Salvia officinalis,Gargle/Tea,Mediterranean,Greece,39.0,22.0,"Warm sage gargles/teas as a home remedy.","Avoid ingesting concentrated essential oil.",mixed,https://www.ema.europa.eu/en/medicines/herbal/sage
Sore throat,Saltwater,–,Warm saltwater gargle,North America,United States,39.8,-98.6,"Common home remedy to soothe irritation.","Do not swallow excessive salt; hydrate.",not-applicable,https://www.cdc.gov/groupastrep/diseases-public/sore-throat.html
Indigestion,Caraway & Fennel,Carum carvi; Foeniculum vulgare,Tea/chew seeds,Europe,Germany,51.0,10.0,"Post-meal seed teas for gas/bloating.","Essential oils can irritate; seeds typically mild.",mixed,https://www.ema.europa.eu/en/medicines/herbal/fennel-fruit
Common cold,Echinacea,Echinacea purpurea,Tea/Tincture,North America,Canada,56.0,-106.0,"Traditionally used at cold onset.","Allergic reactions possible; evidence mixed.",mixed,https://www.nccih.nih.gov/health/echinacea
Common cold,Black elderberry,Sambucus nigra,Syrup/Tea,Central Europe,Poland,52.1,19.4,"Home-made syrups/teas in some regions.","Unripe/raw parts can be toxic; cook thoroughly.",limited/low,https://www.nccih.nih.gov/health/elderberry
Minor wounds,Turmeric,Curcuma longa,Topical paste,South Asia,India,20.6,78.9,"Applied for minor skin issues in folk practice.","Topical sensitivity; staining; not for deep/open wounds.",limited/low,https://www.nccih.nih.gov/health/turmeric
Minor burns (first-degree),Aloe vera,Aloe vera,Fresh gel,Latin America,Mexico,23.6,-102.6,"Household gel for minor sunburns/irritation.","Allergy possible; not for severe burns.",mixed,https://www.nccih.nih.gov/health/aloe-vera
Insomnia,Valerian,Valeriana officinalis,Tea/Extract,Europe,Netherlands,52.0,5.0,"Bedtime tea/extract for sleep in folk use.","Drowsiness; interactions with sedatives possible.",mixed,https://www.nccih.nih.gov/health/valerian
Menstrual cramps,Chamomile,Matricaria chamomilla,Tea,Mediterranean,Lebanon,33.9,35.5,"Calming tea; used for mild cramping and sleep.","Asteraceae allergy; anticoagulant interaction possible.",limited/low,https://www.nccih.nih.gov/health/chamomile
Menstrual cramps,Fenugreek,Trigonella foenum-graecum,Seed tea,Northeast Africa,Egypt,26.8,30.8,"Spice tea used for cramps in some traditions.","May affect blood sugar; avoid in pregnancy unless advised.",limited/low,https://www.nccih.nih.gov/health/fenugreek
ailment,plant_common,plant_scientific,preparation,region,country,latitude,longitude,tradition_notes,cautions,evidence_level,source_url
Headache,Peppermint,Mentha × piperita,Tea or topical oil,Europe,Germany,51.0,10.0,"Used for tension-type headache and digestion discomfort.","Topical menthol can irritate; oils may aggravate reflux.",mixed,https://www.nccih.nih.gov/health/peppermint-oil
Nausea,Ginger,Zingiber officinale,Fresh root tea,East Asia,Japan,36.0,138.0,"Commonly used for mild nausea.","May affect anticoagulants; heartburn in some.",some/clinical,https://pubmed.ncbi.nlm.nih.gov/26051518/
Cough,Thyme,Thymus vulgaris,Tea with honey,Mediterranean,Greece,39.0,22.0,"Household remedy for cough in Mediterranean regions.","Essential oil can irritate; tea generally mild.",mixed,https://www.ema.europa.eu/en/medicines/herbal/thyme
